domainSize;nIterations;nThreads;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;avgColumnTemperature;totalTime;iterationTime;;
64;156250;1;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/64x64_out_seq,h5;seq;93,792694;3,61E+00;2,31E-05;;1,00
64;156250;2;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/64x64_2threads_out_par1,h5;par1;93,792686;2,47E+00;1,58E-05;;1,46
64;156250;3;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/64x64_3threads_out_par1,h5;par1;93,792686;2,26E+00;1,45E-05;;1,60
64;156250;4;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/64x64_4threads_out_par1,h5;par1;93,792694;2,16E+00;1,38E-05;;1,67
64;156250;5;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/64x64_5threads_out_par1,h5;par1;93,792686;2,05E+00;1,31E-05;;1,76
64;156250;6;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/64x64_6threads_out_par1,h5;par1;93,792694;2,08E+00;1,33E-05;;1,74
64;156250;7;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/64x64_7threads_out_par1,h5;par1;93,792694;2,04E+00;1,31E-05;;1,77
64;156250;8;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/64x64_8threads_out_par1,h5;par1;93,792694;2,33E+00;1,49E-05;;1,55
64;156250;9;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/64x64_9threads_out_par1,h5;par1;93,792686;2,43E+00;1,56E-05;;1,48
64;156250;10;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/64x64_10threads_out_par1,h5;par1;93,792686;2,49E+00;1,60E-05;;1,45
