domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598125;1.071387e+00;2.742786e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1174785.dm2/256x256_out_64_par.h5;par;50.598125;3.403475e+00;8.713008e-05
512;19531;50;0.001000;input_data_512.h5;;par;30.967758;1.188243e+00;6.083883e-05
512;19531;50;0.001000;input_data_512.h5;/lscratch/1174785.dm2/512x512_out_64_par.h5;par;30.967758;1.741960e+00;8.918950e-05
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933413;2.772774e+00;2.839502e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174785.dm2/1024x1024_out_64_par.h5;par;23.933413;3.699463e+00;3.788493e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;3.702347e+00;7.583669e-04
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174785.dm2/2048x2048_out_64_par.h5;par;21.396944;7.458580e+00;1.527771e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496799;1.105168e+01;4.527522e-03
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174785.dm2/4096x4096_out_64_par.h5;par;20.496799;1.482760e+01;6.074396e-03
